iter	Passed	Remaining
0	14	144014
1	25	125827
2	37	125303
3	49	124221
4	60	121670
5	75	125550
6	86	123880
7	100	126132
8	115	128539
9	131	131285
10	147	134024
11	159	132961
12	175	135099
13	191	136617
14	207	138022
15	223	139699
16	238	139858
17	253	140546
18	270	142045
19	288	143767
20	302	143603
21	317	143948
22	335	145600
23	352	146693
24	369	147264
25	399	153375
26	420	155379
27	439	156475
28	455	156735
29	473	157326
30	487	156672
31	499	155721
32	514	155312
33	529	155140
34	544	154917
35	555	153752
36	568	153009
37	581	152423
38	594	151950
39	606	150940
40	617	149901
41	630	149385
42	645	149576
43	659	149278
44	673	149028
45	692	149806
46	707	149788
47	724	150157
48	742	150850
49	759	151189
50	772	150668
51	793	151763
52	807	151581
53	821	151333
54	831	150396
55	849	150922
56	861	150224
57	877	150332
58	893	150497
59	908	150559
60	923	150469
61	938	150417
62	952	150277
63	967	150156
64	980	149878
65	1001	150764
66	1019	151147
67	1035	151302
68	1053	151572
69	1072	152176
70	1088	152284
71	1105	152470
72	1121	152472
73	1137	152616
74	1156	153035
75	1170	152804
76	1182	152422
77	1195	152121
78	1207	151700
79	1221	151474
80	1234	151198
81	1248	150978
82	1259	150483
83	1275	150577
84	1295	151060
85	1309	150965
86	1327	151276
87	1343	151287
88	1358	151331
89	1377	151663
90	1391	151546
91	1411	151990
92	1427	152057
93	1445	152329
94	1461	152412
95	1476	152354
96	1492	152402
97	1511	152765
98	1540	154030
99	1554	153897
100	1574	154346
101	1590	154363
102	1613	155029
103	1629	155038
104	1646	155195
105	1664	155317
106	1681	155497
107	1703	156018
108	1720	156118
109	1733	155898
110	1747	155679
111	1760	155426
112	1773	155187
113	1788	155055
114	1800	154747
115	1811	154367
116	1822	153974
117	1833	153570
118	1847	153436
119	1858	152981
120	1870	152692
121	1881	152349
122	1893	152052
123	1904	151653
124	1913	151161
125	1923	150728
126	1935	150430
127	1945	150043
128	1958	149866
129	1969	149512
130	1982	149325
131	1991	148905
132	2002	148564
133	2014	148289
134	2026	148061
135	2037	147764
136	2048	147473
137	2058	147141
138	2070	146855
139	2081	146601
140	2090	146197
141	2102	145987
142	2115	145791
143	2127	145587
144	2139	145388
145	2150	145156
146	2164	145049
147	2177	144947
148	2190	144814
149	2205	144812
150	2219	144790
151	2233	144710
152	2246	144601
153	2259	144479
154	2271	144256
155	2284	144171
156	2298	144093
157	2312	144023
158	2327	144081
159	2346	144334
160	2365	144573
161	2381	144606
162	2406	145201
163	2422	145307
164	2438	145333
165	2455	145459
166	2472	145563
167	2490	145725
168	2510	146016
169	2528	146209
170	2544	146272
171	2562	146413
172	2580	146593
173	2594	146523
174	2612	146665
175	2627	146671
176	2643	146715
177	2662	146907
178	2678	146950
179	2693	146926
180	2706	146825
181	2721	146828
182	2737	146846
183	2758	147177
184	2779	147489
185	2802	147867
186	2819	147932
187	2852	148877
188	2877	149379
189	2892	149323
190	2905	149210
191	2919	149145
192	2934	149092
193	2945	148895
194	2958	148766
195	2973	148738
196	2986	148625
197	2999	148469
198	3013	148436
199	3027	148352
200	3040	148223
201	3053	148096
202	3068	148074
203	3081	147977
204	3095	147899
205	3106	147711
206	3119	147585
207	3132	147463
208	3146	147397
209	3159	147280
210	3171	147133
211	3186	147122
212	3201	147094
213	3235	147954
